CGATS.17

ORIGINATOR	i1Profiler - X-Rite, Inc.
INSTRUMENTATION	i1Pro ; Serial number 850763
DESCRIPTOR	차트 917 패치v
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	DEVCALSTD
DEVCALSTD	XRGA
CREATED2025-11-24 22:18:11

NUMBER_OF_FIELDS	49
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	LAB_C	LAB_H
END_DATA_FORMAT

NUMBER_OF_SETS	917
BEGIN_DATA
231	F2	30	0	160	0.07945	0.07076	0.10525	31.98	10.76	-17.95	20.93	300.94
232	F3	0	255	20	0.11458	0.19938	0.11652	51.77	-46.28	12.69	47.99	164.66
233	F4	30	0	191	0.0876	0.07665	0.12835	33.28	12.38	-22.6	25.77	298.72
234	F5	94	94	109	0.16204	0.16398	0.13698	47.49	2.25	-0.45	2.29	348.78
235	F6	30	224	0	0.16302	0.23381	0.08089	55.46	-31.55	31	44.23	135.51
236	F7	191	206	191	0.43693	0.4632	0.37731	73.75	-2.82	0.67	2.9	166.67
237	F8	30	0	224	0.0998	0.08428	0.17655	34.86	15.54	-31.93	35.51	295.95
238	F9	0	232	0	0.11898	0.19029	0.09008	50.72	-38.66	19.45	43.28	153.29
239	F10	30	0	255	0.1193	0.10125	0.24373	38.07	16.11	-39.98	43.1	291.94
240	F11	20	255	0	0.16451	0.26819	0.10388	58.81	-45.12	28.74	53.5	147.5
241	F12	30	30	63	0.06545	0.06485	0.06349	30.61	3.07	-4.71	5.62	303.1
242	F13	0	255	10	0.12293	0.2129	0.11083	53.27	-46.91	17	49.89	160.08
243	F14	30	30	94	0.06606	0.06533	0.0736	30.72	3.21	-8.81	9.38	290.05
